category_id,category_name,parent_id,parent_name,root_id,root_name,path
28958,"Broadwater County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Broadwater County, MT"
28959,"Carbon County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Carbon County, MT"
28960,"Carter County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Carter County, MT"
28961,"Cascade County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Cascade County, MT"
28962,"Chouteau County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Chouteau County, MT"
28963,"Custer County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Custer County, MT"
28964,"Daniels County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Daniels County, MT"
28965,"Dawson County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Dawson County, MT"
28966,"Deer Lodge County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Deer Lodge County, MT"
28967,"Fallon County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Fallon County, MT"
28968,"Fergus County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Fergus County, MT"
28969,"Flathead County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Flathead County, MT"
28970,"Gallatin County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Gallatin County, MT"
28971,"Garfield County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Garfield County, MT"
28972,"Glacier County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Glacier County, MT"
28973,"Golden Valley County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Golden Valley County, MT"
28974,"Granite County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Granite County, MT"
28975,"Hill County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Hill County, MT"
28976,"Jefferson County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Jefferson County, MT"
28977,"Judith Basin County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Judith Basin County, MT"
28978,"Lake County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Lake County, MT"
28979,"Lewis and Clark County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Lewis and Clark County, MT"
28980,"Liberty County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Liberty County, MT"
28981,"Lincoln County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Lincoln County, MT"
