category_id,category_name,parent_id,parent_name,root_id,root_name,path
33540,Nonmetallic Mineral Products,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Nonmetallic Mineral Products
33529,Processed Foods and Feeds,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Processed Foods and Feeds
33556,Professional Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Professional Services
33545,"Publishing Sales, Excluding Software",33583,Commodity Based,32455,Prices,"Prices > Producer Price Indexes (PPI) > Commodity Based > Publishing Sales, Excluding Software"
33536,"Pulp, Paper, and Allied Products",33583,Commodity Based,32455,Prices,"Prices > Producer Price Indexes (PPI) > Commodity Based > Pulp, Paper, and Allied Products"
33554,Real Estate Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Real Estate Services
33555,Rental and Leasing of Goods,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Rental and Leasing of Goods
33566,Repair and Maintenance Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Repair and Maintenance Services
33569,Retail Trade Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Retail Trade Services
33534,Rubber and Plastic Products,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Rubber and Plastic Products
33559,Selected Security Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Selected Security Services
33546,Software Publishing,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Software Publishing
33580,Special Indexes,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Special Indexes
33581,Stage of Processing,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Stage of Processing
33549,"Telecommunication, Cable, and Internet User Services",33583,Commodity Based,32455,Prices,"Prices > Producer Price Indexes (PPI) > Commodity Based > Telecommunication, Cable, and Internet User Services"
33530,Textile Products and Apparel,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Textile Products and Apparel
33541,Transportation Equipment,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Transportation Equipment
33543,Transportation Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Transportation Services
33558,Travel Arrangement Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Travel Arrangement Services
33544,"Warehousing, Storage, and Related Services",33583,Commodity Based,32455,Prices,"Prices > Producer Price Indexes (PPI) > Commodity Based > Warehousing, Storage, and Related Services"
33562,Waste Collection and Remediation Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Waste Collection and Remediation Services
33568,Wholesale Trade Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Wholesale Trade Services
33584,Industry Based,31,Producer Price Indexes (PPI),32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based
33586,Accommodation and Food Services,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Accommodation and Food Services
33588,Administrative and Support and Waste Management and Remediation Services,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Administrative and Support and Waste Management and Remediation Services
33585,"Agriculture, Forestry, Fishing and Hunting",33584,Industry Based,32455,Prices,"Prices > Producer Price Indexes (PPI) > Industry Based > Agriculture, Forestry, Fishing and Hunting"
33587,"Arts, Entertainment, and Recreation",33584,Industry Based,32455,Prices,"Prices > Producer Price Indexes (PPI) > Industry Based > Arts, Entertainment, and Recreation"
